accuracy,loss,top_5_accuracy,val_accuracy,val_loss,val_top_5_accuracy,learning_rate
0.16551649570465088,5.854182720184326,0.3076302111148834,0.1994030773639679,5.333224773406982,0.3596310615539551,0.0010000000474974513
0.21615144610404968,5.0643534660339355,0.38280031085014343,0.21710047125816345,5.075178623199463,0.38701489567756653,0.0010000000474974513
0.2345484048128128,4.759235858917236,0.4118932783603668,0.22471153736114502,4.973321914672852,0.39750534296035767,0.0010000000474974513
0.2483624964952469,4.55563497543335,0.4320094585418701,0.2289717048406601,4.934715270996094,0.4037609100341797,0.0010000000474974513
0.25947728753089905,4.402419090270996,0.44817233085632324,0.23160694539546967,4.907017230987549,0.4083241820335388,0.0010000000474974513
0.26974523067474365,4.281670570373535,0.4617788791656494,0.2347220927476883,4.906312465667725,0.40941447019577026,0.0010000000474974513
0.27842625975608826,4.184887409210205,0.47292059659957886,0.23540405929088593,4.913382530212402,0.41178029775619507,0.0010000000474974513
0.2996724843978882,3.9692509174346924,0.4992724657058716,0.24175222218036652,4.860967636108398,0.41930297017097473,0.0005000000237487257
0.3075169324874878,3.9029040336608887,0.5081016421318054,0.2429267168045044,4.867325782775879,0.41961026191711426,0.0005000000237487257
0.3220195174217224,3.777337074279785,0.5246605277061462,0.24526728689670563,4.856741428375244,0.42152145504951477,0.0002500000118743628
